id,number,title,state,user_login,created_at,updated_at,closed_at,merged_at,merge_commit_sha,draft,comments,review_comments,commits,additions,deletions,changed_files,_extracted_at,_execution_id,_repository_full_name
10001,1,Add GitHub Actions workflow,merged,contributor1,2024-01-17T09:00:00Z,2024-01-19T15:30:00Z,2024-01-19T15:30:00Z,2024-01-19T15:30:00Z,abc123def,false,3,5,2,145,23,4,2025-01-03T02:00:00Z,exec-20250103-001,johndoe/awesome-project
10002,2,Update README with usage examples,merged,contributor2,2024-02-20T14:15:00Z,2024-02-21T10:45:00Z,2024-02-21T10:45:00Z,2024-02-21T10:45:00Z,def456ghi,false,1,2,1,67,12,1,2025-01-03T02:00:00Z,exec-20250103-001,johndoe/awesome-project
10003,3,Fix memory leak issue,merged,johndoe,2024-03-12T08:30:00Z,2024-03-15T16:20:00Z,2024-03-15T16:20:00Z,2024-03-15T16:20:00Z,ghi789jkl,false,6,8,3,89,156,5,2025-01-03T02:00:00Z,exec-20250103-001,johndoe/awesome-project
10004,4,Implement rate limiting feature,open,contributor2,2024-12-15T11:00:00Z,2025-01-02T14:30:00Z,,,mno012pqr,false,2,4,5,234,45,8,2025-01-03T02:00:00Z,exec-20250103-001,johndoe/awesome-project
20001,1,Fix database migration,merged,developer1,2023-07-15T10:00:00Z,2023-07-16T14:30:00Z,2023-07-16T14:30:00Z,2023-07-16T14:30:00Z,pqr345stu,false,4,6,2,78,34,3,2025-01-03T02:00:00Z,exec-20250103-001,acmecorp/enterprise-api
20002,2,Add JWT authentication,merged,developer2,2023-08-23T09:15:00Z,2023-09-05T16:45:00Z,2023-09-05T16:45:00Z,2023-09-05T16:45:00Z,stu678vwx,false,12,18,8,456,89,12,2025-01-03T02:00:00Z,exec-20250103-001,acmecorp/enterprise-api
20003,3,Optimize database queries,open,developer1,2024-11-20T13:45:00Z,2024-12-28T11:20:00Z,,,vwx901yza,false,7,9,4,123,67,6,2025-01-03T02:00:00Z,exec-20250103-001,acmecorp/enterprise-api
30001,1,Setup dbt models,merged,janedoe,2024-03-22T10:30:00Z,2024-03-22T14:15:00Z,2024-03-22T14:15:00Z,2024-03-22T14:15:00Z,yza234bcd,false,1,3,1,345,0,15,2025-01-03T02:00:00Z,exec-20250103-001,janedoe/data-pipeline
30002,2,Add Elementary integration,open,janedoe,2024-05-10T11:00:00Z,2024-12-20T09:30:00Z,,,bcd567efg,false,3,5,3,189,23,7,2025-01-03T02:00:00Z,exec-20250103-001,janedoe/data-pipeline
40001,1,Upgrade to React 18,merged,developer4,2024-08-12T10:00:00Z,2024-08-14T15:45:00Z,2024-08-14T15:45:00Z,2024-08-14T15:45:00Z,efg890hij,false,8,12,6,567,234,23,2025-01-03T02:00:00Z,exec-20250103-001,techcorp/frontend-app
40002,2,Implement dark mode UI,open,designer1,2024-10-05T14:30:00Z,2025-01-01T18:45:00Z,,,hij123klm,false,15,22,12,789,123,34,2025-01-03T02:00:00Z,exec-20250103-001,techcorp/frontend-app
40003,3,Fix mobile layout issues,merged,developer4,2024-11-13T09:15:00Z,2024-11-18T15:30:00Z,2024-11-18T15:30:00Z,2024-11-18T15:30:00Z,klm456nop,false,9,11,5,234,156,12,2025-01-03T02:00:00Z,exec-20250103-001,techcorp/frontend-app
50001,1,Add YAML config support,merged,contributor5,2023-12-02T10:00:00Z,2023-12-10T16:45:00Z,2023-12-10T16:45:00Z,2023-12-10T16:45:00Z,nop789qrs,false,10,14,7,345,67,9,2025-01-03T02:00:00Z,exec-20250103-001,oss-community/cli-tool
50002,2,Fix zsh autocomplete,open,contributor6,2024-07-20T11:30:00Z,2024-11-30T14:20:00Z,,,qrs012tuv,false,4,6,3,123,45,4,2025-01-03T02:00:00Z,exec-20250103-001,oss-community/cli-tool
